start	end	text
0	26920	Syndrome
26920	30920	Bela kisses you and reaches out for your heart
32920	36920	But his kisses cause your life to fall apart
38920	42920	Darkness devours you and he takes control
44920	47920	Bela drowns his pain together
47920	52920	With his wife in alcohol
52920	54920	Bela, Bela Kiss Kiss
54920	56920	Come clean some tiling lies
57920	58920	Did you really kill your wife?
58920	60920	Portrait and iron tank
60920	62920	Pickled in from Aldi Heights
63920	64920	Kiss of death and homicides
66920	67920	Come clean some tiling lies
69920	70920	Did you really kill your wife?
70920	72920	Portrait and iron tank
72920	74920	Pickled in from Aldi Heights
75920	76920	Kiss of death and homicides
82920	83920	Kiss of death and homicides
91920	94920	What kind of monster have you let yourself become?
97920	100920	How many women are still out there on your farm?
103920	106920	Your bare hands, their necks, you joked there
107920	111920	Your dark collection grows but Bela
112920	116920	Your cold heart stays forever broken
117920	118920	Bela, Bela Kiss Kiss
119920	120920	Come clean some tiling lies
120920	121920	Bela, Bela Kiss Kiss
122920	123920	Did you really kill your wife?
123920	124920	Portrait and iron tank
125920	126920	Pickled in from Aldi Heights
126920	127920	Bela, Bela Kiss Kiss
128920	129920	Kiss of death and homicides
129920	130920	Bela, Bela Kiss Kiss
131920	132920	Come clean some tiling lies
132920	133920	Bela, Bela Kiss Kiss
134920	135920	Did you really kill your wife?
135920	136920	Portrait and iron tank
137920	138920	Pickled in from Aldi Heights
138920	139920	Bela, Bela Kiss Kiss
140920	141920	Kiss of death and homicides
142920	146920	You adored your wife until she found herself a lover
148920	152920	But you made sure there was no happy ever after
154920	158920	And is still somewhere in your home with all the others
160920	162920	Carefully preserved, floating blood
162920	163920	Strange bodies
164920	165920	Bodies
166920	167920	Bodies
172920	173920	Bela, Bela Kiss Kiss
174920	175920	Come clean some tiling lies
175920	176920	Bela, Bela Kiss Kiss
177920	178920	Did you really kill your wife?
178920	179920	Portrait and iron tank
180920	181920	Pickled in from Aldi Heights
181920	182920	Bela, Bela Kiss Kiss
183920	184920	Kiss of death and homicides
184920	185920	Bela, Bela Kiss Kiss
186920	187920	Come clean some tiling lies
187920	188920	Bela, Bela Kiss Kiss
189920	190920	Did you really kill your wife?
190920	191920	Portrait and iron tank
192920	193920	Pickled in from Aldi Heights
194920	195920	Bela, Bela Kiss Kiss
196920	197920	Kiss of death and homicides
198920	199920	Of death and homicides
201920	202920	Of death and homicides
204920	205920	Kiss of death and homicides
